Seq No.,UDISE Code,School Name,School Location
1,36211202113,WINGS LEARNING SCHOOL,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
2,36211201730,"TSWREIS SCHOOLS,SHAMIRPET","State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
3,36211201509,ST.JOSEPHS ENG MEDI SCHOOL ALIABAD,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
4,36211202106,SRI SATHYA SUDHA HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
5,36211202104,"GOVT SPORTS SCHOOL, Thumkunta","State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
6,36211201732,EXCELLENCIA INFINITUM SCHOOL UPPARPALLY,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
7,36211202107,PALLAVI PROGRESSIVE,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
8,36211200404,ZPHS TURAKAPALLY,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
9,36211202109,SRI VIGNANA BHARATHI S.,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
10,36211201733,EXCELLENCIA JUNIOR COLLEGE UPPARPALLY,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
11,36211201410,SREE SARASWATHI V.N.H.S,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
12,36211201719,MODEL MISSION SCHOOL,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
13,36211202307,SRI KRISHNA MEMORIAL HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
14,36211201605,SRI T CHAITANYA HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
15,36211201709,SRINIVASA MEMORIAL HIGH S,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
16,36211201722,"SRI BALAJI VENKATESWARA SWAMY JR.COLLEGE , SHAME","State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
17,36211201712,ST PAULS HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
18,36211201710,SHANTINIKETAN VIDYALAYA,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
19,36211201606,JAIN HERITAGE,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
20,36211201407,MALIK HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
21,36211200407,VIJETHA TECHNO SCHOOL,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
22,36211201603,"KRISHNA VENI HIGH SCHOOL, MAZIDPUR","State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
23,36211202007,SIVA SIVANI PUBLIC SCHOOL,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
24,36211202303,IVY LEAGUE ACADEMY,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
25,36211202008,KENDRIYA VIDYALAYAM SHAMIRPET,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
26,36211201731,TMREIS BOYS SHAMIRPET,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
