Seq No.,UDISE Code,School Name,School Location
1,36232103228,"TSWREIS (GIRLS), CHEVELLA","State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
2,36241301119,TSWREIS BOYS PEDDEMUL,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
3,36232103225,SRI CHAITANYA JR. COLLEGE,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
4,36241700746,TWREIS KODANGAL BOYS,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
5,36240601155,TWREIS PARGI GIRLS,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
6,36241700749,TSWREIS (BOYS) KODANGAL,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
7,36232103604,ZPHS GUNDAL,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
8,36232103223,"VIVEKANANDA CO-OP JR. COLLEGE , CHEVELLA, OPP.MA","State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
9,36232100703,ZPHS KOWKUNTLA,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
10,36232103402,ZPHS MALKAPUR,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
11,36232101903,THE LEADERS INTERNATIONAL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
12,36232103213,NAVACHAITANYA HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
13,36232103212,SRI SATYA SAI GRAMMER SCH,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
14,36232103215,SILVERDALE THE SCHOO,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
15,36232103210,SRI SAI CHAITANYA H S,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
16,36232103218,"KRISHNAVENI TALENT HS, CHEVELLA","State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
17,36232103224,TSMS CHEVELLA & JUNIOR COLLEGE,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
