Seq No.,UDISE Code,School Name,School Location
1,36231701810,"GOWTHAMI MODEL SCHOOL, KANDUKUR","State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
2,36231702206,ZPHS NEDNOOR,"State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
3,36231701813,"NOBLE HIGH SCHOOL, KANDUKUR","State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
4,36231701826,TWREIS BOYS KANDUKUR,"State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
5,36231701206,ZPHS LEMOOR,"State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
6,36231703006,ZPHS MUCHERLA,"State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
7,36231701106,ZPHS RACHULUR,"State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
8,36231702211,ST JOSEPH HIGH SCHOOL NEDNOOR),"State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
9,36231701814,S V V R CONVENT SCHOOL,"State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
10,36231702210,TSMS NEDUNOOR,"State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
