Seq No.,UDISE Code,School Name,School Location
1,36210300122,NARAYANA E TECHNO SCHOOL NIZAMPET,"State : Telangana
District : MEDCHAL
Block : BACHPALLE"
2,36210300107,ZPHS BACHUPALLY,"State : Telangana
District : MEDCHAL
Block : BACHPALLE"
3,36210300204,ZPHS NIZAMPET,"State : Telangana
District : MEDCHAL
Block : BACHPALLE"
4,36210300112,VIKAS THE CONCEPT HS,"State : Telangana
District : MEDCHAL
Block : BACHPALLE"
5,36210300217,"SR DIGI HS, NIZAMPET","State : Telangana
District : MEDCHAL
Block : BACHPALLE"
6,36210300215,"BHASHYAM HIGH SCHOOL, NIZAMPET","State : Telangana
District : MEDCHAL
Block : BACHPALLE"
7,36210300125,VIVEKANANDA HIGH SCHOOL(BACHUPALLY,"State : Telangana
District : MEDCHAL
Block : BACHPALLE"
8,36210300108,"PRAGATHI VIDYA NIKETHAN, PRAGATHINAGAR","State : Telangana
District : MEDCHAL
Block : BACHPALLE"
9,36210300136,SATKAMA HS,"State : Telangana
District : MEDCHAL
Block : BACHPALLE"
10,36210300145,"SURYA THE GLOBLE SCHOOL, BACHUPALLY","State : Telangana
District : MEDCHAL
Block : BACHPALLE"
11,36210300135,"GEETANJALI SCHOOL HS, BACHPALLY","State : Telangana
District : MEDCHAL
Block : BACHPALLE"
12,36210300121,"GEETANJALI SCHOOL, BACHPALLY","State : Telangana
District : MEDCHAL
Block : BACHPALLE"
13,36210300212,ABHIJNA HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : BACHPALLE"
14,36210300221,MY LIFE SCHOOL,"State : Telangana
District : MEDCHAL
Block : BACHPALLE"
15,36210300213,L F G DIGI HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : BACHPALLE"
16,36210300130,"AASHIRWAAD E/M SCHOOL, BACHUPALLY","State : Telangana
District : MEDCHAL
Block : BACHPALLE"
17,36210300140,KESAVA REDDY E-LEARNING SCHOOL,"State : Telangana
District : MEDCHAL
Block : BACHPALLE"
18,36210300214,LAURUS THE SCHOOL OF EXCELLENCE,"State : Telangana
District : MEDCHAL
Block : BACHPALLE"
19,36210300114,"KENNEDY HIGH SCHOOL, BACHPALLY","State : Telangana
District : MEDCHAL
Block : BACHPALLE"
20,36210300208,SRI RAJADHANI RESIDENTIAL,"State : Telangana
District : MEDCHAL
Block : BACHPALLE"
21,36210300116,SILVER OAKS HS,"State : Telangana
District : MEDCHAL
Block : BACHPALLE"
22,36210300132,VRS&VIGNANA JYOTHI RESIDENTIAL SCHOOL,"State : Telangana
District : MEDCHAL
Block : BACHPALLE"
23,36210300124,PRAGATHI CENTRAL SCHOOL,"State : Telangana
District : MEDCHAL
Block : BACHPALLE"
24,36210300205,VIGNAN VIDYALAYAM,"State : Telangana
District : MEDCHAL
Block : BACHPALLE"
